id	user	icon	portrait	Italian	Japanese	Final Notes	pic	Filenames	Codes
DOOR_UPSLOPEWOODS3	The Scythian			Una porta chiusa a chiave nascosta nel sottobosco della foresta sotto l'antica strada che conduce fin sul Mingi Taw. #grottadellaluna	ミンギ・トウ行きの古道から下に伸びた~脇道を;進むと、うっそうとした茂った低木の~奥に;開かない扉があった。 #月の洞穴				
LOGFELLA_AVATAR			AdventureUI/dudeLogfellaIdle1						
LOGFELLA_INTRO_ADV	Logfella	AdventureUI/tweetIconBabelBook		Il taglialegna, tagliando la legna, tagliò della legna. #ovviamente #tagliandolalegna	一人の木こりがしきりに;薪木をパッキリ~割っている。 #薪割り		71	007.jpg	70E70
				Presso coloro che abitano le montagne del Caucaso era noto come 'Signor Ceppo' & sembrava un tipo tosto.	コーカサス地方の山の民は、;彼を「丸太さん」~と呼ぶ。;結構いい人そうだ。				
				Il Signor Ceppo sapeva tutto del nostro compito ingrato & acconsentì a condurci fino all'antica strada.	丸太さんは私の果たすべき使命を;すべて~把握しており、;古道の案内を引き受けて~くれた。				
				Tuttavia avevamo la netta sensazione che non morisse dalla voglia di farlo.	…明らかにノリノリではない感じだったが。				
LOGFELLA_TADPOL_WAITING	Logfella	AdventureUI/tweetIconBabelBook		Il taglialegna ci aspettava per proseguire lungo il sentiero fino all'inizio dell'antica strada.	丸太さんは古道を案内するために;待っていて~くれた。		12	008.jpg	U0D88
LOGFELLA_INTRO_CHASM	The Scythian	AdventureUI/tweetIconBabelBook		Passammo sopra al nostro problema & ci sentimmo super svegli.	崖に橋がかかった…これってやらかした系？		22	009.jpg	L0B9S
			adventureUI/megatomeItem	Raccontammo al Signor Ceppo che eravamo in cerca di un gravoso libro di infausta spadomanzia noto come il Grantomo.	私は丸太さんに、邪悪な呪術が宿る;~「絶世の大書」を取りに来たのだと伝えた。				
			adventureUI/megatomeItem	Il Grantomo era nascosto da qualche parte al di là del Precipizio Periglioso, sotto il Mingi Taw, nell'oscurità infestata dagli spettri.	絶世の大書は危難の崖の向こう側にある;~ミンギ・トウのさらに奥、;忌まわしき~暗闇の中にあるという。				
			adventureUI/megatomeItem	Eravamo risoluti nel recuperare Il Grantomo & ad uscire da lì sani & salvi.	何としても絶世の大書を手に入れ、;生きて~戻ってくる。;そう決心した。				
LOGFELLA_BEFOREWALL	The Scythian		AdventureUI/keyItem	Il taglialegna confermò al 100% che custodiva l'unica chiave che potesse aprire la porta nel muro di pietra.	丸太さんは、石壁の扉を開ける鍵を;持って~いるのは自分しかいないのだと言った。				
			AdventureUI/keyItem	Era davvero una bella chiave.	すごくカッコイイ鍵だ。				
				Eravamo del tutto pronti per premere & tenere premuto sul sentiero di fronte per muoverlo muoverlo muoverlo.	出立の準備は整った。;行き先にタップし~そのまま押し続ければ、;足はおのずと前へ前へ。				
LOGFELLA_POSTTONGUE	The Scythian		adventureUI/megatomeItem	Il taglialegna noto come Signor Ceppo sarebbe rimasto qui ad aspettarci di ritorno con Il Grantomo.	丸太さんは私が絶世の大書を手に入れて;~戻るまでここで待つという。				
LOGFELLA_HINT_SITTINGDOWN	The Scythian	AdventureUI/tweetIconBabelBook		Il taglialegna noto come Signor Ceppo aveva deciso di rilassarsi sotto un riparo di pietra vicino al Precipizio Periglioso.	丸太さんは私が戻るまで、;~危難の崖近くで待つという。				
				Il Signor Ceppo pareva saper tutto sul detestabile arcobaleno & sul glifo vicino raffigurante una spada innalzata al cielo.	丸太さんは、石碑に刻まれた忌まわしき;虹と~空を向いた剣のことを知っている様子だ。				
				E tuttavia il Signor Ceppo offrì zero aiuti su cosa fare ora, il che ci diede un po' sui nervi, giusto per essere del tutto sinceri.	だが丸太さんは見て見ぬふりを決め込んで~いる。;これから何をすればいいのだろうか？;~顔には出さなかったがイラッときていた。				
LOGFELLA_WOLF_HINT	The Scythian	AdventureUI/tweetIconBabelBook		Il taglialegna aveva visto un qualche genere di mostruosità raccapricciante & decise che avrebbe lasciato che ce ne occupassimo noi.	彼は恐ろしい怪物をみてしまったから、;~そいつの相手を私にさせようという;魂胆~なのだろう。		26	010.jpg	Q1B00
LOGFELLA_DOWNSLOPE	The Scythian		adventureUI/megatomeItem	Avevamo recuperato Il Grantomo & Il Signor Ceppo era pronto al 100% a muoverlo muoverlo nella sicurezza della sua dimora.	絶世の大書を回収してきた。;丸太さんは~ナルハヤで;安全な山小屋まで帰りたいのか、~;はやる気持ちが足の歩みに出ていた。				
				Presagimmo l'arrivo di una tempesta & una canzoncina cominciava già a suonare nel nostro cuore.	激しい雷雨が訪れる気配がした。;その瞬間、~心の中でかすかに歌が響き始めた。				
LOGFELLA_CABINMEGATOME	The Scythian	AdventureUI/tweetIconBabelBook		Alla vista della tempesta in arrivo Il Signor Ceppo confessò che stava avendo proprio in quel momento un attacco di panico.	雷鳴が轟きだすと、丸太さんは;何やら~ひとかたならぬ恐怖を感じていると;~私に告げた。				
				Per caso Il Signor Ceppo stava intenzionalmente cercando di mandarci fuori di testa? #sì #no #puòdarsi	丸太さんは私をビビらせたかったのだろうか？ #たぶん				
				In ogni caso ripararsi per un po' era probabilmente la cosa più sicura da fare.	何にしても、しばらくは;屋根のある所に~いたほうが良さそうだ。				
QUESTCOMPLETE_MEGATOME			adventureUI/megatomeItem	Abbiamo Il Grantomo & siamo i più intelligenti. #abbiamoilgrantomo	絶世の大書を手に入れた。;「何コレ、スゴイ」~とつぶやいてみる。 #絶世の大書入手		40	011.jpg	81C1E
GIRL_AVATAR			AdventureUI/dudeDaughterIdle1						
ARCHETYPE_AVATAR			AdventureUI/dudeArchetypeIdle1						
ARCHETYPE_TUTORIAL	The Archetype	AdventureUI/tweetIconInfo							
	The Archetype			Signore & Signori, che ne dite di picchiettare questi due spiritelli silvani così che possa farmi un'idea del vostro sistema stereo?	紳士淑女の皆様ごきげんよう。;~まずは、ステレオの調子を;確認して~おきましょう。左右に漂う;小さな森の精を~タップしてもらえますか？				
	The Archetype			Le nostre ricerche indicano che il supporto ai social networks avrà un'influenza positiva sul successo di S:S&S EP.	ソーシャルネットワークサポートは;~「スキタイのムスメ：音響的冒剣劇」の;結果に~対し、重要な役割を果たすということが;~私どもの研究によって明らかとなっています。				
				Nota: l'abilità di divulgare le vostre scoperte è una componente completamente opzionale di S:S&S EP, ed è destinata ad essere usata con moderazione.	情報発信機能は選択肢の一つとして;~用意されているだけですから、;利用しなくても~構いません。;~それから、使い過ぎにはご注意を…				
				Vi siamo profondamente grati di aver scelto di partecipare a questo trattamento sperimentale per casi acuti d'avvilimento.	この度は、私ども主催による;~「タマシイの~重大疾患」に関する;~臨床研究にご参加いただきまして、~;誠にありがとうございます。				
				Troverete questa prima sessione di S:S&S EP abbastanza lineare. Richiede tipicamente solo 15 - 30 minuti per essere completata.	「スキムス」の初回セッションは;非常に~シンプルなもので、;所要時間も~およそ１５～３０分程度です。				
				Pronti per iniziare? Premete play & andiamo!	さて、よろしいですか？;準備が整ったら~ プレイボタンを押して;始めましょう。				
ARCHETYPE_FOUNDATION	The Archetype			Parliamo del set & setting per una esperienza positiva con l'estremamente psicoattivo Superborthers: Sword & Sworcery EP.	では、「スキタイのムスメ：音響的冒剣劇」の;~もたらす精神活性作用を有意義なものと;~するため、「心の状態」と;「環境」について;~お話ししましょう。				
				"Il ""Set"" si riferisce allo stato mentale & caratteriale con cui ci si approccia all'esperienza - pensieri, sensazioni e/o aspettative."	ここでいう「心の状態」とは、本作を;体験~していく際の精神状態や人格構造のことを;~指します。状況に対する思考、感情の起伏、;~そして結果への期待などですね。				
				Abbiamo scoperto che un individuo rilassato, curioso è più incline ad avere un'esperienza soddisfacente con S:S&S EP.	私どもの研究によると、好奇心旺盛な方が;~リラックスした状態で体験する場合、;~「スキムス」を楽しんでいただける確率が~高い;との結果が出ています。				
				"Il ""Setting"" comprende il comfort, la sicurezza & il calore della stanza o dell'ambiente esterno dove avverrà l'esperienza."	「環境」は、第一に本作を体験する場所の;こと~ですね。快適で安全、心地よい部屋;~―もちろん野外でも結構ですが―~;が良いでしょう。				
				"Il ""Setting"" comprende anche l'aspetto sociale. Abbiamo scoperto che il supporto ai social networks gioca un significativo ruolo positivo."	また「環境」には、社会的側面も含まれます。;~私どもの研究によると、ソーシャル;~ネットワークサポートは極めて重要であるとの;~結果が出ています。				
				"Il terzo aspetto del ""Setting"" è quello culturale - prevalentemente nozioni di realtà & normalità. Per ora eviteremo questo argomento."	そしてもちろん、文化的側面も含まれます。;~何を以て現実や正常とするかですね。;~この点については、;今は深入りしないことと~しましょう。				
				S:S&S EP non provoca un'esperienza trascendentale, desidera semplicemente liberare il sistema nervoso dai classici schemi.	「スキムス」は鮮烈な体験をお届けすること~;ではなく、いつもの日常から;あなたの精神を~解き放つことを目指して;開発されています。				
				"L'ampliata consapevolezza, l'inutilizzato & smisurato potenziale della mente, ecco a cosa ci riferiamo, noi di Superbrothers, con ""spadomanzia""."	拡張された意識、あらゆる制限から;~解き放たれた精神の潜在能力…;~ここ、Superbrothersでは;それを~「ソーサリー」と呼んでいます。				
				L'inno della Spadomanzia può essere inteso come una tecnica psionica & ti permette di percepire una realtà all'interno di  quella che conosci.	ソーサリーの歌を歌うと、;自分の考えている~通りに現実が;見えるようになります。;~超能力のようなものですね。				
				Per fermare l'inno della Spadomanzia in qualsiasi momento, clicca semplicemente due volte sull'aura della spadomanzia che circonda la Scita.	ソーサリーの歌をやめるには、;~スキタイのムスメの周囲を包むソーサリーの;~オーラをダブルクリックしてみてください。				
				Una volta intonato un inno della Spadomanzia, fai tap & tieni premuto sull'aura della spadomanzia & scorri per guardare attorno.	歌が始まった後、周囲を見渡したくなったら、;~オーラをタップしたままドラッグしましょう。				
				Per intonare l'inno della Spadomanzia, fai tap & tieni premuto sulla Scita per un momento o due & osserva l'aura della spadomanzia concentrarsi.	ソーサリーの歌を始めるには、;~まずスキタイのムスメをタップし続けます。;~これで、ソーサリーのオーラが集まり始めます。				
				Come puoi vedere, il Grantomo cattura & organizza trasmissioni di pensiero linguistico. Scorri verso il basso per vedere a cosa stavo pensando prima.	ご覧の通り、絶世の大書は;あらゆる思考を~収集して言語的に記述します。;下にスクロール~すれば、;私の思考をさかのぼって読めますよ。;				
ARCHETYPE_MEGATOMETUTORIAL	The Scythian		adventureUI/megatomeItem	"""Ben fatto - hai appreso l'Inno della Spadomanzia & ora il misterioso potere del Grantomo è tuo."""	「見事にソーサリーの歌を習得しましたね。;~これであなたは、絶世の大書が秘める;~深淵なる力を手に入れたわけです」		47	012.jpg	31E2F
			adventureUI/megatomeItem	"""Il Grantomo intercetta trasmissioni di pensiero linguistico & contiene tutto ciò di cui hai bisogno per portare a termine il tuo compito ingrato."""	「絶世の大書はあらゆる思考を言語化して;~記録します。あなたが果たすべき使命を;~やり遂げるために必要な知識は、すべて;~その中に見つけることができるはずです」				
			adventureUI/megatomeItem	"Sto pensando a qualcosa proprio in questo momento... perchÉ non apri Il Grantomo & mi cerchi per scoprire cosa mi passa per la testa?"	「ふと思いついたんですが…;絶世の大書を~開いて私の項目を引き、;今私が考えている~ことを;調べてみるのはどうでしょうか？」				
				"""Troverai un triangolo bianco in altro a destra... toccalo & quindi equipaggia Il Grantomo per svelare ciò che si cela al suo interno."""	「右上に白い三角形がありませんか？;~それをタップしてから絶世の大書を;手に取ってみて~ください。;すべてが明らかになるはずです。」				
LOGFELLA_STORM	The Scythian			Il taglialegna noto come Signor Ceppo aveva rinunciato al suo solito tagliar legna a causa della sinistra tempesta. #stivalibagnati	ひどい嵐が来たので、;丸太さんは薪割りを~諦めたようだ。 #ブーツずぶ濡れ				
			adventureUI/megatomeItem	Il Signor Ceppo ci ricordò come la tempesta si fosse formata molto rapidamente, subito dopo aver ottenuto il Grantomo dalle viscere del Mingi Taw.	丸太さんは、私がミンギ・トウの奥地から;~絶世の大書を持ち出した直後に;嵐がやって~来たと言った。				
				Il Signor Ceppo stava forse suggerendoci, in modo non così celato, di provare a far qualcosa per calmare la tempesta? #sì #no #forse	丸太さんのあからさまな物言いから察するに、;~おそらく私は嵐を止めるために;何かしたほうが~良いのだろう。 #たぶん				
GIRL_STORM	The Scythian			La ragazza dai capelli corvini nota come 'Ragazza', affrontava il dolore di quel momento. #dolore	オトメちゃんと呼ばれる黒髪の少女も;~悲しそうだ。				
			gourd/gourd	Sin dall'inizio della tempesta, la ragazza vide le spume sonore di alcuni folletti silvani che dormivano nei boschi vicini.	どうも嵐が来て以来、;近くの森に眠る森の精が~「こだまの泡」を;噴きはじめたという。				
			gourd/gourd	Si domandava se i tre folletti silvani sarebbero stati d'aiuto nel calmare la tempesta? #sì	オトメちゃんは、森の精が３匹集まれば;~きっと嵐を鎮められる、;と信じているようだ。				
			gourd/gourd	Ci chiese di indagare sulle spume sonore che sgorgavano dalle acque profonde dello stagno all'esterno della baita.	小屋の前にある大きな池にもこだまの泡が;~立ち上っているから、;調べてほしいと~頼まれた。				
			gourd/gourd	La ragazza parlò di un folletto in un prato nelle vicinanze & di un altro folletto in un nido artificiale che un tempo era dimora di tre uccellini canterini bagnati fradici.	オトメちゃんによれば、近くの草原と、;~それから雨に濡れた３羽のツグミが;身を~寄せていた巣箱のところでも;こだまの泡が~立ち上っているのを見たという。				
			gourd/gourd	La ragazza ci invitò a cercare le spume sonore prodotte da questi tre folletti silvani & a inviarli verso il cielo tramite l'Inno della Spadomanzia.	どうやら彼女は、;この３か所でこだまの泡を~探し、;ソーサリーの歌で空に還してほしいと;~願っているようだ。				
ARCHETYPE_SWORCERY	The Archetype			"""È tempo di imparare l'Inno della Spadomanzia - una tecnica di espansione della conoscenza che svela una nuova dimensione mistica & musicale."""	「ついにソーサリーの歌を習得する時が;~来ました。これは意識を拡張させて、;~音楽の力で内に眠る神秘的な力を;引き出す~手法です」				
			gourd/gourd	"""Mantieni la calma & segui le mie indicazioni per evocare il folletto silvano che dorme dolcemente nelle fresche & profonde acque dello stagno."""	「落ち着いて私の指示をよく聞いてください。;~これから池で静かに眠る森の精を;~召喚します」				
ARCHETYPE_TADPOLES	The Archetype			Era ovvio al 100% che l'uomo vestito stranamente si aspettava che facessimo questa o quella cosa ma non avevamo idea di che.	あの変な格好の男が我々に何かして;欲しがって~いるのは間違いなさそうです。;~何を期待してるのかは謎ですが。				
			gourd/gourd	"""Vedi le spume sonore che sgorgano dalle profonde acque dello stagno? Proprio lì un folletto silvano sta dormendo dolcemente & tu devi evocarlo."""	「池にあるこだまの泡は見ましたか？;~森の精はあそこでグッスリ眠っています。;~何とかして召喚しないといけませんね」				
			gourd/gourd	"""Intona un Inno della Spadomanzia in qualsiasi momento toccando & tenendo premuto sulla Scita per entrare in una realtà altra rispetto a quella che conosci."""	ソーサリーの歌を始めるには、;~スキタイのムスメに触れ続けてください。;~これで、隠された現実の扉が;開かれるはずです。				
			gourd/gourd	"""Accompagna i due piccoli natanti dove il folletto sonnecchia & quindi innalzalo al cielo con tre tocchi di spadomanzia."""	「池で泳いでいるモノを２匹、;森の精が~寝ている場所へ導いてください。;後は起こした~森の精に３度触れば;空に還せます」		49	013.jpg	61D3A
GIRL_LOSTKEY	The Scythian			La ragazza era al riparo dalla pioggia sotto l'ampio tetto di legno del pozzo.	井戸を覆う立派な屋根の下でオトメちゃんが;~雨宿りしている。				
				Aveva lasciato la comodità del focolare nella baita perchÉ a quanto pare Il Signor Ceppo stava andando fuori di testa per qualcosa o qualcos'altro.	小屋の焚き火にあたっていれば;温かい~だろうに…どうも丸太さんが;えらく~取り乱しているようだ。				
INFO_BIRDEYESCULPTURE	The Scythian			Notammo una scultura di un uccello arrabbiato stagliarsi sul prato. #citazionesottesa	草原を見下ろすように;「怒れる鳥」の像が~あった。 #あのゲーム		6	014.jpg	F1D48
INFO_MEADOWSHEEP	The Scythian			Notammo alcune inutili pecore oziare in giro per il prato. #inutilipecore	草原では、羊が何頭か草を食べていた。;~どうということのない景色だ。				
INFO_CABINSHEEP	The Scythian			Un'altra inutile pecora - perchÉ continuiamo ad osservarle? #inutilipecore	またしても羊のどうということのない景色。;~私は何で羊を眺め続けているのだろう？				
INFO_MEADOWSUN	The Scythian			Possiamo ricordare chiaramente quanto il sole fosse maestoso in quella particolare giornata di inizio primavera.	春の日に降り注ぐ日光の清々しさ… ;~今でも鮮明に思い出せる。				
INFO_MEADOWGATE	The Scythian			Nel prato c'era un cancello di ferro inamovibile che bloccava l'entrata di una caverna cavernosa.	草原には洞くつへ続く道があった。;だが分厚い~鉄の扉に遮られて入ることは;できなかった。				
INFO_MEADOWGATEACTIVE	The Scythian			Nel prato c'era un cancello di ferro & avevamo la sensazione di poterlo alzare in qualche modo.	草原には洞くつの入口を塞ぐ鉄の扉がある。;~やり方さえ分かれば;開けられるような~気がした…;当たり前か。				
INFO_MEADOWGATETRIGONACTIVE	The Scythian			Notammo un aggeggio simile a un Trigon d'Oro posto sopra al cancello di ferro - reagirà forse al nostro Inno della Spadomanzia?	扉の上にはトライゴン的な形をした;黄金色の~何かがあった。;ソーサリーの歌に反応する~かも…？				
INFO_MEADOWGATETRIGON	The Scythian			Notammo un aggeggio posto sopra al cancello di ferro.	鉄扉の上部にはなんか変なモノがついている。				
INFO_LOCKEDDOORSTONEWALL	The Scythian			La porta nel muro di pietra blocca l'antica strada per il Mingi Taw & apparentemente la chiave è persa nei sogni.	ミンギ・トウの古道に続く石壁の扉は;~閉じられたままだ。;どうも丸太さんは;夢の中に~鍵を落としてきたようだ。				
INFO_LOOMINGBIRDSCULPTURES	The Scythian			Notammo una scultura di un uccello arrabbiato stagliarsi sul prato. #citazionesottesa	草原を見下ろすように;「怒れる鳥」の像が~あった。 #あのゲーム				
INFO_MEADOWSUNSTICK	The Scythian			Notammo un bastone dalla forma strana affacciarsi sul prato.	草原を監視するかのように変な形の棒が;~立っていた。				
INFO_CABINWELL	The Scythian			Notammo un pozzo robusto con un ampio tetto di legno.	がっしりとした屋根に覆われた見事な作りの;~井戸があった。				
INFO_UNWELLWELL	The Scythian			Il pozzo sembrava impazzito. #impazzito #pozzo	まいどおなじみ井戸である。#まいど井戸				
INFO_WELLNESS	The Scythian			Chi è più pazzo? Il pozzo o il pazzo che lo segue? #impazzito #pozzo #pazzo	井戸の底は冥土のように明度が低そうだ。 #井戸冥土明度				
INFO_WELLWHITESTAG	The Scythian			LUNGA VITA AL NUOVO CORPO	新人間よ、永遠なれ。				
ARCHETYPE_UNWELLWELLOUTRO	The Archetype								
INFO_CABINCHIMNEY	The Scythian			Notammo una robusta baita di pietra con un tetto di paglia che sorgeva accanto a uno stagno dalle acque profonde.	深く澄んだ池のほとりに、;しっかりとした~作りの山小屋があった。				
INFO_CABINWOODPILE	The Scythian			Notammo una pila di legna tagliata, niente di importante.	薪木が山のように積み重ねてある。;~まあ、普通の光景だ。				
INFO_SPUME	The Scythian			Localizzammo le dolci spume sonore di un folletto silvano dormiente. Ora... come fare per evocarlo?	こだまの泡を見つけた。;ここに森の精が~眠っているのか。;~さて…どうやって召喚すれば？				
INFO_NESTBOX	The Scythian			Notammo un nido artificiale dall'aspetto curioso con un'iscrizione che diceva "Tweetta & sarai ri-tweettato".	変わった形をした巨大な巣箱だ。;~「つぶやけば、さらばつぶやき返されん」;~と碑文が~刻まれている。		13	015.jpg	B1C5F
INFO_NESTBOXWEATHERED	The Scythian			Notammo un nido dall'aspetto consunto che somigliava in modo raccapricciante a una specie di faccia.	古びた巣箱だ。どことなく顔っぽく見える。				
INFO_FLAGPOLELOGBRIDGE	The Scythian			A cavallo di un ponte di legno sull'antica strada si ergeva una lugubre asta adornata da robusti teschi.	古道にかかる長い橋の手前に、;いかめしい~骸骨のような物が飾り付けられた;不気味な~旗竿が立っていた。				
INFO_GOLDTRIGONALTAR	The Scythian			Oltre la caverna cavernosa nel prato ci imbattemmo in un boschetto isolato con una serie di strane strutture petrose.	草原から洞くつを抜け、たどり着いたのは;~ひっそりとした森だった。;いくつかあった~石碑から;不思議なオーラを感じた。				
			Archetype/trifecta	... Era questo il Trigonbosco? #trigonbosco	…これが…トライゴンの森なのか？ #トライゴンの森		93	016.jpg	B1D6J
			triangle/Triangle	Mentre ci trovavamo accanto alla prima struttura petrosa i nostri pensieri andavano al Trigon d'Oro & sentimmo la nostra spada rimestare nel fodero.	一番近くにある石碑の前に立つと、;~黄金のトライゴンのことが頭に浮かんだ。;~剣が…震えた気がする。				
INFO_DARKTRIGONALTAR	The Scythian			Nel Trigonbosco vi era un'altra struttura petrosa consumata & corrosa dalle intemperie. #iltrigonedellalunacupa	トライゴンの森には、;風雨にさらされ~古くなった石碑があった。 #暗月のトライゴン				
				Pensavamo a cosa sarebbe accaduto se avessimo colpito con la nostra spada la struttura petrosa.	この石碑、;剣を打ち付けたらどうなる~だろう…？				
INFO_BRIGHTTRIGONALTAR	The Scythian			Nel Trigonbosco vi era un'altra struttura petrosa con un glifo circolare che si riferiva alla Luna Splendente. #trigonedellalunasplendente	トライゴンの森には、;明月を表す円が刻まれた~石碑があった。 #明月のトライゴン				
				Pensavamo a cosa sarebbe accaduto se avessimo colpito con la nostra spada la struttura petrosa.	この石碑、;剣を打ち付けたらどうなる~だろう…？				
INFO_STONEHEAD	The Scythian			Presso il Precipizio Periglioso vi era un'enorme scultura intagliata nella roccia di una testa impudente con la bocca spalancata.	岩を削り出したのだろうか？;危難の崖には~見覚えのある形をした、;巨大な頭の像が~あった。;口はポカンと開いている。		24	017.jpg	61B76
INFO_STONEHEADSHUT	The Scythian			Presso il Precipizio Periglioso vi era un'enorme scultura intagliata nella roccia di una testa impudente.	岩を削り出したのだろうか？;危難の崖には、~見覚えのある形をした;巨大な頭の像があった。				
INFO_STONEHEADFLAGPOLE	The Scythian			Sulla sommità di un'enorme scultura intagliata nella roccia si ergeva una lugubre asta adornata in modo inquietante da robusti teschi o qualcosa del genere.	岩の頭像の上には、;いかめしい骸骨のような~物が飾り付けられた;不気味な旗竿が~立っていた。				
INFO_CHASMSTONESHELTER	The Scythian			Ad un lato del Precipizio Periglioso si ergeva qualcosa di meraviglioso, simile ad un dolmen, che racchiudeva due sedie di pietra dall'aspetto comodo.	危難の崖近くには;支石墓のように石が積み~上げられ、;座り心地の良さそうな２つの石を;~雨から守っている。		25	018.jpg	O1C8M
INFO_SKULLPOLE	The Scythian			A cavallo di un ponte pericolante si ergeva una lugubre asta adornata in modo inquietante dal teschio di un cervo.	オンボロ橋の端には;角つきの骸骨を~飾りつけた、;不気味な棒が突き立ててある。				
INFO_TRIFECTASYMBOL	The Scythian			Al di sopra dell'entrata intagliata nella roccia ad un tempio montano notammo una rappresentazione pittografica della Trigon Tripletta.	石造りの寺院入り口に、;トライ~ゴン・トライフェクタを表す;象形文字が刻まれていた。				
INFO_MOUNTAINGATE	The Scythian			Nelle profondità del tempio montano notammo un cancello di ferro inamovibile & al di là di questo riuscivamo a vedere l'imponenza del Mingi Taw racchiuso dalle nubi.	山岳寺院の奥深くで、;固く閉ざされた~鉄の扉を見つけた。;ここを進めば~ミンギ・トウからの眺望が;堪能できそうだが。				
