id	English	Japanese	
DARKMOON_COUNT_9	LUNA OSCURA EN 9 DÍAS	暗月まであと９日	JR, jun12: Changed 9 to ９
DARKMOON	LUNA OSCURA	暗月	
BRIGHTMOON	LUNA BRILLANTE	明月	
DARKMOON_BEFORE_NUM	LUNA OSCURA EN 	暗月まであと	
DARKMOON_AFTER_1	DÍA	日	
DARKMOON_AFTER_MORE	DÍAS	日	
BRIGHTMOON_BEFORE_NUM	LUNA BRILLANTE EN 	明月まであと	
BRIGHTMOON_AFTER_1	DÍA	日	
BRIGHTMOON_AFTER_MORE	DÍAS	日	
TIME_PARADOX	* PARADOJA TEMPORAL *	* タイム パラドックス *	
ERRAND_END	TU FUNESTO COMETIDO LLEGA A SU FIN.	使命はついに果たされた	
BEWARE_BOOR	CUIDADO CON EL PATÁN CANOSO	クマズリーに注意	
MOVE_CONTROLS	MANTENER PRESIONADO PARA MOVERSE	タップしたままにすると移動	
STOP_CONTROLS	¿DOBLE CLIC PARA PARAR?	トントンして立ち止まる？	JR, may30: Changed to Japanese ？
STOP_CONTROLS_ARROW	< < ¿DOBLE CLIC PARA PARAR?	< <トントンして立ち止まる？	JR, may30: Changed to Japanese ？
SLAY	¿ASESINAR?	息の根を止める？	JR, may30: Changed to Japanese ？
ZOOM_CONTROLS	< < <  ¿ZUM? > > >	< < <  ズーム？ > > >	HM, Jun13: Changed ? to double byte
LOOK_CONTROLS	MANTENER PRESIONADO & DESLIZAR SOBRE LA AUREOLA SUKIMUSU	ソーサリーのオーラをタップしたままドラッグ	JJ, Jun11: This is really long on the screen. JR, jun12: HIROKO: consider changing "swipe" to whatever the JP is for "drag" JR, jun13: JJ - any reason they use AUREOLE here and not AURA like elsewhere? It's the same thing, isn't it? HM, jun13: Made it shorter
LOOK_CONTROLS_2	PULSAR & DESLIZAR PARA MIRAR ALREDEDOR	タップしたままドラッグで見渡す	HM, jun13: changed swipe to drag.
TONGUE_TEXT	Inclina, desenvaina y mantÉn tu espada escita en alto sobre el arco iris durante unos segundos y ten fe	傾け、抜刀し、スキタイの剣を幾秒か、;虹に向けて掲げよ。;意志あるところに道は通ず	MM, 6/1: We can't find this line in the game? Is it in the game?
TOUCH_HOLD	MANTÉN PRESIONADO	タップしたままにする	
TOUCH_HOLD_ARROW_LEFT	< < MANTÉN PRESIONADO	< < タップしたままにする	JJ, Jun6: Didn't have translation here, but made it based on row 91 HM, Jun13: tweaked it. Was there a specific reason you used して instead of する ?
TOUCH_HOLD_ARROW_RIGHT	MANTÉN PRESIONADO > >	タップしたままにする > >	JJ, Jun6: Didn't have translation here, but made it based on row 91 HM, Jun13: tweaked it. Was there a specific reason you used して instead of する ?
TIP_TAP_QUESTION	¿DOBLE CLIC?	トントンする？	JR, may30: Changed to Japanese ？
TIP_TAP_ARROW_LEFT	< < DOBLE CLIC	< <トントンする	
TIP_TAP_ARROW_LEFT_Q	< < ¿DOBLE CLIC?	< <トントンする？	JR, may30: Changed to Japanese ？
TIP_TAP_ARROW_RIGHT	DOBLE CLIC > >	トントンする> >	
RUB	ROZAR	こする	
QUIT	SALIR	やめる？	
TAP_ARROW_LEFT	< < PULSAR	< <タップする	
MOON_TIME_1	hace unos momentos	さっき	
MOON_TIME_2	hace un ratito	ちょっと前	
MOON_TIME_3	hace un rato	けっこう前	
MOON_TIME_4	hace días	ずいぶん前	
MOON_TIME_5	hace muchas lunas	かなり前	
MOON_TIME_6	hace mucho tiempo	ずっとずっと前	
COSMIC_FRIENDS	AHORA SOMOS AMIGOS CÓSMICOS PARA SIEMPRE... ¿VALE?	さて、これで僕らは永遠にコズミックフレンドだ…いいね？	
The Scythian	La Escita	スキタイのムスメ	
Girl	Chica	オトメちゃん	
Logfella	Tronco	丸太さん	
Dogfella	Perrolega	イヌさん	
The Archetype	El Arquetipo	アーキタイプ	
EXIT	SALIR	終了	
RESOLUTION	RESOLUCIÓN	解像度	
RESET	REINICIAR	リセット	
PROMPT_CONFIRM_QUIT	¿SALIR AL MENÚ PRINCIPAL?	メインメニューに戻る？	HM, Jun12: Is the single byte question mark intentional? JR, jun12: Fixed.
APPLY	APLICAR	適用	
BACK	VOLVER	戻る	
ERRMSG_UNABLE_TO_SAVE	No se puede guardar el archivo	ファイルにセーブできません	
ERRMSG_UNABLE_TO_DELETE	No se puede borrar el archivo	ファイルを削除できません	
ERRMSG_UNABLE_TO_DELETE_STEAM	Un error impidiÓ borrar el archivo de guardado de Steam.	エラーが起きたので Steam の;セーブを削除できませんでした	HW, Jun6: This string likely needs line breaks. Shows up in same popup box when quitting the game. JR, jun12: Fixed but need to check if it fits.
ERRMSG_UNABLE_TO_SAVE_STEAM	Un error impidiÓ crear un archivo de guardado de Steam.	エラーが起きたので Steam の;セーブを作成できませんでした	HW, Jun6: This string likely needs line breaks. Shows up in same popup box when quitting the game. JR, jun12: Fixed but need to check if it fits.
ERRMSG_CORRUPT_SAVE_PROGRESS	Los datos guardados estÁn corruptos porque no se puede leer la info. El juego borrarÁ los datos guardados al presionar Aceptar.	進捗情報が読み込めません。;セーブデータが破損しています。;OK を押すとセーブデータを削除します	B38 のOkayと訳語を揃える必要があります。今はOKとしてあります。 また、「回復するには」とありますがデータを削除する説明文が続きます。挙動を確認後、訳文を適宜修正願います JR, jun12: Fixed but need to check if it fits.
PROMPT_CONFIRM_EXITGAME	¿QUIERES SALIR DEL JUEGO?	ゲームを終了しますか？	
HASHTAG_SWORCERY	#espadachiceria	#スキムス	
DIGIT_STRING	"0123456789"	０１２３４５６７８９	
HOLD_SHIELD_TO_HEAL	MANTENER ESCUDO PARA SANAR	押し続けて回復	JR, jun12: HIROKO - this is new and needs a translation. HM, jun13: JJ - please check this in the new build and show it to me. If it's too tight we can consider 押し続けて回復.
